ID,Class_ID,Level,Timestamp,Creator_ID,Prize,Defender_Value,Attacker_Value,Coverage_Goal,Mutant_Goal,Attackers_Needed,Defenders_Needed,Start_Time,Finish_Time,MaxAssertionsPerTest,MutantValidator,ChatEnabled,Attackers_Limit,Defenders_Limit,State,CurrentRound,FinalRound,ActiveRole,Mode,RequiresValidation,IsAIDummyGame,HasKillMap,CapturePlayersIntention,Puzzle_ID,EquivalenceThreshold,Game_Duration_Minutes,Classroom_ID,Invite_Only,May_Choose_Role
144,101,HARD,2026-04-12 05:35:16,103,1,100,100,1,1,0,0,2026-04-12 05:35:16,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
145,102,HARD,2026-04-12 05:35:16,103,1,100,100,1,1,0,0,2026-04-12 05:35:16,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
146,101,HARD,2026-04-12 06:05:26,103,1,100,100,1,1,0,0,2026-04-12 06:05:26,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
147,102,HARD,2026-04-12 06:05:27,103,1,100,100,1,1,0,0,2026-04-12 06:05:27,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
148,101,HARD,2026-04-12 06:35:37,103,1,100,100,1,1,0,0,2026-04-12 06:35:37,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
149,102,HARD,2026-04-12 06:35:37,103,1,100,100,1,1,0,0,2026-04-12 06:35:37,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
150,101,HARD,2026-04-12 07:05:47,103,1,100,100,1,1,0,0,2026-04-12 07:05:48,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
151,102,HARD,2026-04-12 07:05:48,103,1,100,100,1,1,0,0,2026-04-12 07:05:48,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
152,101,HARD,2026-04-12 07:35:58,103,1,100,100,1,1,0,0,2026-04-12 07:35:58,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
153,102,HARD,2026-04-12 07:35:58,103,1,100,100,1,1,0,0,2026-04-12 07:35:59,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
154,101,HARD,2026-04-12 08:06:09,103,1,100,100,1,1,0,0,2026-04-12 08:06:09,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
155,102,HARD,2026-04-12 08:06:09,103,1,100,100,1,1,0,0,2026-04-12 08:06:09,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
156,101,HARD,2026-04-12 08:36:19,103,1,100,100,1,1,0,0,2026-04-12 08:36:19,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
157,102,HARD,2026-04-12 08:36:20,103,1,100,100,1,1,0,0,2026-04-12 08:36:20,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
158,101,HARD,2026-04-12 09:06:30,103,1,100,100,1,1,0,0,2026-04-12 09:06:30,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
